速度,42.82km/h,2024/2/16 2:28
车距,182.85m,2024/2/16 2:28
油量,28.638升,2024/2/16 2:28
胎压,0.31MPa,2024/2/16 2:28
胎压,0.31MPa,2024/2/16 2:28
胎压,0.31MPa,2024/2/16 2:28
胎压,0.31MPa,2024/2/16 2:28
车流量,142辆,2024/2/16 2:28
油量,34.86升,2024/2/16 2:28
速度,53.14km/h,2024/2/16 2:28
车距,103.14m,2024/2/16 2:28
胎压,0.34MPa,2024/2/16 2:28
胎压,0.34MPa,2024/2/16 2:28
胎压,0.34MPa,2024/2/16 2:28
胎压,0.34MPa,2024/2/16 2:28
车流量,58辆,2024/2/16 2:28
速度,31.06km/h,2024/2/16 2:29
油量,21.6升,2024/2/16 2:29
车距,351.08m,2024/2/16 2:29
胎压,0.34MPa,2024/2/16 2:29
胎压,0.34MPa,2024/2/16 2:29
胎压,0.34MPa,2024/2/16 2:29
胎压,0.34MPa,2024/2/16 2:29
车流量,11辆,2024/2/16 2:29
油量,26.382升,2024/2/16 2:29
速度,9.04km/h,2024/2/16 2:29
车距,149.07m,2024/2/16 2:29
胎压,0.33MPa,2024/2/16 2:29
胎压,0.33MPa,2024/2/16 2:29
胎压,0.33MPa,2024/2/16 2:29
胎压,0.33MPa,2024/2/16 2:29
车流量,109辆,2024/2/16 2:29
油量,2.556升,2024/2/16 2:29
速度,19.3km/h,2024/2/16 2:29
车距,219.3m,2024/2/16 2:29
胎压,0.32MPa,2024/2/16 2:29
胎压,0.32MPa,2024/2/16 2:29
胎压,0.32MPa,2024/2/16 2:29
胎压,0.32MPa,2024/2/16 2:29
车流量,24辆,2024/2/16 2:29
油量,42.582升,2024/2/16 2:30
速度,86km/h,2024/2/16 2:30
车距,36.03m,2024/2/16 2:30
胎压,0.23MPa,2024/2/16 2:30
胎压,0.23MPa,2024/2/16 2:30
胎压,0.23MPa,2024/2/16 2:30
车流量,146辆,2024/2/16 2:30
胎压,0.23MPa,2024/2/16 2:30
油量,57.918升,2024/2/16 2:30
速度,106.59km/h,2024/2/16 2:30
车距,21.58m,2024/2/16 2:30
胎压,0.17MPa,2024/2/16 2:30
胎压,0.17MPa,2024/2/16 2:30
胎压,0.17MPa,2024/2/16 2:30
胎压,0.17MPa,2024/2/16 2:30
车流量,61辆,2024/2/16 2:30
速度,104.63km/h,2024/2/16 2:31
油量,2.718升,2024/2/16 2:31
车距,19.59m,2024/2/16 2:31
胎压,0.19MPa,2024/2/16 2:31
胎压,0.19MPa,2024/2/16 2:31
胎压,0.19MPa,2024/2/16 2:31
胎压,0.19MPa,2024/2/16 2:31
车流量,14辆,2024/2/16 2:31
油量,7.482升,2024/2/16 2:31
胎压,0.24MPa,2024/2/16 2:31
速度,202.67km/h,2024/2/16 2:31
车距,2.19m,2024/2/16 2:31
胎压,0.24MPa,2024/2/16 2:31
胎压,0.24MPa,2024/2/16 2:31
车流量,112辆,2024/2/16 2:31
胎压,0.24MPa,2024/2/16 2:31
胎压,0.15MPa,2024/2/16 2:34
速度,124.12km/h,2024/2/16 2:34
油量,59.37升,2024/2/16 2:34
车距,9.05m,2024/2/16 2:34
胎压,0.15MPa,2024/2/16 2:34
胎压,0.15MPa,2024/2/16 2:34
胎压,0.15MPa,2024/2/16 2:34
车流量,84辆,2024/2/16 2:34
油量,55.092升,2024/2/16 2:34
速度,122.03km/h,2024/2/16 2:34
车距,6.93m,2024/2/16 2:34
胎压,0.16MPa,2024/2/16 2:34
胎压,0.16MPa,2024/2/16 2:34
胎压,0.16MPa,2024/2/16 2:34
胎压,0.16MPa,2024/2/16 2:34
车流量,37辆,2024/2/16 2:34
油量,52.374升,2024/2/16 2:34
胎压,0.19MPa,2024/2/16 2:34
速度,142.37km/h,2024/2/16 2:34
车距,17.34m,2024/2/16 2:34
胎压,0.19MPa,2024/2/16 2:34
胎压,0.19MPa,2024/2/16 2:34
胎压,0.19MPa,2024/2/16 2:34
车流量,97辆,2024/2/16 2:34
